Code,UiFile,Kor,Eng,Arg
10001,Font,굴림체,Tahoma,Arial
10002,Size,12,14,16
20001,Login.ui,로그인,LOGIN,LOGIN
20002,Login.ui,아이디,Account,Account
20003,Login.ui,패스워드,Password,Password
30001,ChoiceTrio.ui,게임옵션,Game Option,Game Option
30002,ChoiceTrio.ui,게임종료,Quit,Quit
30003,ChoiceTrio.ui,최종 삭제일,The latest deleted,The latest deleted
30004,ChoiceTrio.ui,최근 접속일,The latest connected,The latest connected
30005,ChoiceTrio.ui,코인,Coins,Coins
30006,ChoiceTrio.ui,포인트,Points,Points
30007,ChoiceTrio.ui,크레딧,Credits,Credits
30008,ChoiceTrio.ui,캐릭터를 삭제 하시겠습니니까?\주민번호 뒷자리(7자리)를 입력하여주세요,"Are you sure want to delete character? \ Please, Input the password.","Are you sure want to delete character? \ Please, Input the password."
40001,Choice.ui,초대 하기,Invite,Invite
40002,Choice.ui,메시지 입력,Message,Message
40003,Choice.ui,포지션,Position,Position
40004,Choice.ui,레벨,Lv.,Lv.
40005,Choice.ui,캐릭터명,Name,Name
40006,Choice.ui,멘트,Comment,Comment
50001,ChoiceClass.ui,이전화면,Back,Back
50002,ChoiceClass.ui,튜토리얼,Tutorial,Tutorial
50003,ChoiceClass.ui,Exp,EXP,EXP
50004,ChoiceClass.ui,『%s』님 경기는 어땠나요?\옆에서 지켜보니 정말 멋있게 해내던데요!! 이제 전직을 해보도록 해요.\자신의 포지션과 특성을 결정하는 일이죠. 제가 지난 경기 분석을 가져왔어요.,"『%s』, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match.","『%s』, How was the match?\You are doing well!! Let's select position. It's to decide the position and characteristic.\This is the analysis for your past match."
50005,ChoiceClass.ui,『%s』님은 슛에 일가견이 있으시네요!\FW 포지션이 어떠신가요? 공격을 전담해서 골을 기록하는 포지션이죠. 멋지지 않나요?,"『%s』, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?","『%s』, What a nice shot!\Do you like FW position? It's the position to make the goal. Isn't nice?"
50006,ChoiceClass.ui,『%s』님은 패스에 일가견이 있으시네요!\MF 포지션이 어떠신가요? 팀의 공격과 수비 모두에 관여하는 똑똑한 살림꾼 역할이죠?,"『%s』, What a nice pass!\Do you lke MF position? This position involved in both Striker & Defender positions.","『%s』, What a nice pass!\Do you lke MF position? This position involved in both Striker & Defender positions."
50007,ChoiceClass.ui,『%s』님은 수비 능력이 뛰어나세요!\DF 포지션이 어떠신가요? 팀을 실점의 위기에서 구해내는 포지션이죠. 신나지 않나요?,"『%s』, What a nice defense!\Do you like DF position? It's the position not to lose the goal. Isn't great?","『%s』, What a nice defense!\Do you like DF position? It's the position not to lose the goal. Isn't great?"
50008,ChoiceClass.ui,슈팅,Shooting,Shooting
50009,ChoiceClass.ui,클리어,Ball clear,Ball clear
60001,ChoiceReplay.ui,리플레이,Replay,Replay
60002,ChoiceReplay.ui,포지션,Position,Position
60003,ChoiceReplay.ui,캐릭터이름,Name,Name
60004,ChoiceReplay.ui,득점,Goals,Goals
60005,ChoiceReplay.ui,어시스트,Assist,Assist
60006,ChoiceReplay.ui,평점,Vote,Vote
70001,ChoiceRoom.ui,스킬샵,Skill Shop,Skill Shop
70002,ChoiceRoom.ui,유저정보,Information,Information
70003,ChoiceRoom.ui,아이템샵,Item Shop,Item Shop
70004,ChoiceRoom.ui,인벤토리,Inventory,Inventory
70005,ChoiceRoom.ui,퀘스트,Quest,Quest
70006,ChoiceRoom.ui,귓속말,Whisper,Whisper
70007,ChoiceRoom.ui,방정렬,Order,Order
70008,ChoiceRoom.ui,전직을 수행하지 않았습니다.\전직창으로 이동합니다.,You didn't perform upgrading your\character position. Move to the page for\the job.,You didn't perform upgrading your\character position. Move to the page for\the job.
70009,ChoiceRoom.ui,모두,All,All
70010,ChoiceRoom.ui,일반전,Normal,Normal
70011,ChoiceRoom.ui,대기방,Waiting,Waiting
70012,ChoiceRoom.ui,퀘스트,Quest,Quest
70013,ChoiceRoom.ui,친구추가,Add Friend,Add Friend
70014,ChoiceRoom.ui,차단추가,Add Ignore,Add Ignore
70015,ChoiceRoom.ui,정보보기,Detail,Detail
80001,CreateCharacter.ui,스타일,Style,Style
80002,CreateCharacter.ui,성  별,Gender,Gender
80003,CreateCharacter.ui,캐릭터 이름,Name,Name
80004,CreateCharacter.ui,하  의,Pants,Pants
80005,CreateCharacter.ui,피부색,Skin ,Skin 
80006,CreateCharacter.ui,상  의,Shirts,Shirts
80007,CreateCharacter.ui,신  발,Shoes,Shoes
80008,CreateCharacter.ui,중복체크 버튼을 눌러주세요.,Check,Check
80009,CreateCharacter.ui,달리기,Running,Running
80010,CreateCharacter.ui,드리블,Dribbling,Dribbling
80011,CreateCharacter.ui,순발력,Agility,Agility
80012,CreateCharacter.ui,근  력,Stamina,Stamina
80013,CreateCharacter.ui,탄  력,Jump,Jump
80014,CreateCharacter.ui,몸싸움,Bodycheck,Bodycheck
80015,CreateCharacter.ui,크로스,Crossing,Crossing
80016,CreateCharacter.ui,숏패스,Short Pass,Short Pass
80017,CreateCharacter.ui,롱패스,Long Pass,Long Pass
80018,CreateCharacter.ui,헤딩 슛,Heading,Heading
80019,CreateCharacter.ui,단거리 슛,Short Shots,Short Shots
80020,CreateCharacter.ui,중거리 슛,Long Shots,Long Shots
80021,CreateCharacter.ui,키  핑,Ball Control,Ball Control
80022,CreateCharacter.ui,스  틸,Stealing,Stealing
80023,CreateCharacter.ui,태  클,Tackling,Tackling
80024,CreateCharacter.ui,캐  칭,Catching,Catching
80025,CreateCharacter.ui,펀  칭,Punching,Punching
80026,CreateCharacter.ui,방  어,Defense,Defense
80027,CreateCharacter.ui,능력치,Ability,Ability
80028,CreateCharacter.ui,팀의 득점을 책임지는 포지션,The position to make the goals,The position to make the goals
80029,CreateCharacter.ui,5 레벨시 전직가능,Possible to upgrade position at Lv 5,Possible to upgrade position at Lv 5
80030,CreateCharacter.ui,20 레벨시 전직가능 포지션,Possible to upgrade position at Lv 20,Possible to upgrade position at Lv 20
80031,CreateCharacter.ui,팀의 공/수에 관여하는 포지션,The position involved in both Striker & Defender positions,The position involved in both Striker & Defender positions
80032,CreateCharacter.ui,팀의 실점을 방어하는 포지션,The position not to lose the goals,The position not to lose the goals
80033,CreateCharacter.ui,헤딩슛과 골 결정력이 좋은 포지션,The position for heading & high ball,The position for heading & high ball
80034,CreateCharacter.ui,드리블과 필드골이 뛰어난 포지션,The position for dribbling & field goal,The position for dribbling & field goal
80035,CreateCharacter.ui,빠른 드리블과 크로스가 가능한 포지션,The position for fast dribble & crossing,The position for fast dribble & crossing
80036,CreateCharacter.ui,단거리 슛과 중거리 슛 모두 가능한 포지션,The position for short & long shots,The position for short & long shots
80037,CreateCharacter.ui,중거리 슛팅이 뛰어난 포지션,The position for long shots ,The position for long shots 
80038,CreateCharacter.ui,안정적인 패스가 좋은 포지션,The position for stabilized short passing,The position for stabilized short passing
80039,CreateCharacter.ui,원거리 크로스가 가능한 포지션,The position for long passing & crossing,The position for long passing & crossing
80040,CreateCharacter.ui,상대 공격을 1차 저지하는 포지션,The position for defense at the middle area,The position for defense at the middle area
80041,CreateCharacter.ui,팀의 최후방을 지키는 포지션,The position for defense at the end,The position for defense at the end
80042,CreateCharacter.ui,수비 제공권이 돋보이는 포지션,The position of defense for high ball,The position of defense for high ball
80043,CreateCharacter.ui,대인 마크에 빛을 발하는 포지션,The position of defense for man to man,The position of defense for man to man
80044,CreateCharacter.ui,FW 를 선택하셨네요.\FW는 골에 대한 욕심이 필요하죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select FW.\FW need to be greedy for the goal.\Now, 『%s』 will grow like right graph.","You select FW.\FW need to be greedy for the goal.\Now, 『%s』 will grow like right graph."
80045,CreateCharacter.ui,MF 를 선택하셨네요.\MF는 많은 활동량을 필요로 하죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select MF.\MF need wide scope of activity.\Now, 『%s』 will grow like right graph.","You select MF.\MF need wide scope of activity.\Now, 『%s』 will grow like right graph."
80046,CreateCharacter.ui,DF 를 선택하셨네요.\DF에게 안정적인 수비력은 필수죠.\이제 『%s』님의 특성치는 오른쪽\그래프처럼 성장하게 될 거에요.,"You select DF.\DF need stable defense ability.\Now, 『%s』 will grow like right graph.","You select DF.\DF need stable defense ability.\Now, 『%s』 will grow like right graph."
80047,CreateCharacter.ui,마지막으로 하나 더.\20레벨이 되어서 2차 전직 때\할 수 있는 포지션을 알려주도록 할께요,One more\Will let you know the positions\for 2nd growth when become Lv 20.,One more\Will let you know the positions\for 2nd growth when become Lv 20.
80048,CreateCharacter.ui,안녕? 반가워요\난 아르미 라고 해요.\여러분이 X-KICK 에서 멋진 선수가 될 때까지\항상 옆에서 도와줄 매니져랍니다.\앞으로 잘 부탁해요.\그럼 우선 캐릭터부터 생성해볼까요?,"Hi! Nice to meet you.\I am ARUMI\I am the manager and will be with\you until you become great player.\Let's get along.\Now, let's create character","Hi! Nice to meet you.\I am ARUMI\I am the manager and will be with\you until you become great player.\Let's get along.\Now, let's create character"
80049,CreateCharacter.ui,원하는 스타일을 결정하도록 하죠.\앞으로 X-KICK 에서\자신을 대신하는 캐릭터가 되는 것이니\신중하게 선택하도록 해요.,"Decide with your style.\This character will play\the match instead of you in X-KICK\So, select with care.","Decide with your style.\This character will play\the match instead of you in X-KICK\So, select with care."
80050,CreateCharacter.ui,지금 『%s』님이 가지고 있는 능력치에요.\지금은 아주 낮고 모든 능력치가 같지만\튜토리얼 이후에 전직을 하게 되면\당신에게 맞는 능력치로 변하게 될 꺼에요.,"It's the current ability of. 『%s』\All the abilities now is very low,\but once you grow after tutorial\the abilities will be suitable for you.","It's the current ability of. 『%s』\All the abilities now is very low,\but once you grow after tutorial\the abilities will be suitable for you."
80051,CreateCharacter.ui,"드리블, 단거리 슛, 키핑","Dribbling, Short shots, Ball control","Dribbling, Short shots, Ball control"
80052,CreateCharacter.ui,"순발력, 중거리 슛, 스틸","Agility, Long shots, Stealing","Agility, Long shots, Stealing"
80053,CreateCharacter.ui,"근력, 스틸, 태클","Stamina, Stealing, Tackling","Stamina, Stealing, Tackling"
80054,CreateCharacter.ui,팀의 공격을 맡아 득점을 책임지는 포지션,The position for scoring the goals,The position for scoring the goals
80055,CreateCharacter.ui,공/수 양면 모두 참여하여 팀원을 돕는 멀티 포지션,The position involved in both Attacking &\Defending positions,The position involved in both Attacking &\Defending positions
80056,CreateCharacter.ui,팀의 최후방에서 실점을 막고 상대의 공격을 방해하는 포지션,The position not to lose the goals and obstructthe opponent players,The position not to lose the goals and obstructthe opponent players
80057,CreateCharacter.ui,1. 뛰어난 제공권을 바탕으로 한 최전방 공격수\2. 순발력 등 스피드 계열의 약점을 골 결정력으로 커버,"1. Striker, having good heading & catching highball abilities\2. Overcome the weakness of agility & speed\by making goal ability.","1. Striker, having good heading & catching highball abilities\2. Overcome the weakness of agility & speed\by making goal ability."
80058,CreateCharacter.ui,1. 안정적인 드리블과 득점에 강한 중앙 공격수\2. 공을 소유한 상태에서의 득점력 최고의 포지션,"1. Center Forward, having good dribbling skill &field goals\2. The best goal-scorer, having a ball.","1. Center Forward, having good dribbling skill &field goals\2. The best goal-scorer, having a ball."
80059,CreateCharacter.ui,1. 폭발적으로 빠른 드리블과 수준 높은 크로스로 측면 공격에 유리한 사이드 공격수\2. 약간의 득점력도 겸비,"1. Wing Forward, having the fasted dribbling\skill & crossing from side\2. Good scorer.","1. Wing Forward, having the fasted dribbling\skill & crossing from side\2. Good scorer."
80060,CreateCharacter.ui,"1. 거리에 상관없이 어디서든 득점이 가능한 공격수\2. 드리블, 키핑 등 개인 능력은 떨어지지만 어시스트와 득점 등 팀 플레이 면에서 최고인 포지션","1. Shadow Striker, possible to make a goal fromanywhere\2. Good assistor & scorer but low dribbling skill &ball control.","1. Shadow Striker, possible to make a goal fromanywhere\2. Good assistor & scorer but low dribbling skill &ball control."
80061,CreateCharacter.ui,"1. 정확한 중거리슛과 어시스트로 공격수에 뒤지지 않는 공격력을 가진 포지션\2. 드리블 능력 또한 준수하지만, 수비력에서 타 미드필더에 비해 뒤떨어짐","1. Attacking Midfielder, delivering a ball to\forward also having the long shot\2. Good dribbler but low defensive ability.","1. Attacking Midfielder, delivering a ball to\forward also having the long shot\2. Good dribbler but low defensive ability."
80062,CreateCharacter.ui,"1. 공격부터 수비까지 간접적인 도움의 영향이 큰, 게임 전반적인 조율이 가능한 포지션\2. 타 포지션에 비해 가장 높은 숏패스 능력치","1. Center Midfielder, controlling of game speedfor Attacking & Defending the both\2. The best passing player.","1. Center Midfielder, controlling of game speedfor Attacking & Defending the both\2. The best passing player."
80063,CreateCharacter.ui,"1. 먼 거리에서도 정확하고 빠른 크로스가 가능한 사이드 포지션\2. WF에 비해 스피드는 떨어지지만, 수비력에서는 앞 선다","1. Side Midfielder, having good dribbling &\crossing\2. The speed is lower than WF, but the\Defending ability is higher.","1. Side Midfielder, having good dribbling &\crossing\2. The speed is lower than WF, but the\Defending ability is higher."
80064,CreateCharacter.ui,"1. 준수한 피지컬과 스틸, 태클 능력 모두 준수한 수비수에 가까운 포지션\2. 공격 포인트를 올리기는 어렵지만, 팀의 수비력을 보강하는데는 최고","1. Defensive Midfielder, having good stealing &tackling\2. Close to Defender, not to make a goal easy\but having good defensive skills.","1. Defensive Midfielder, having good stealing &tackling\2. Close to Defender, not to make a goal easy\but having good defensive skills."
80065,CreateCharacter.ui,1. 팀의 실점을 막아내는 최후방 필드 플레이어\2. 약간의 스피드만 보완한다면 상대의 공격을 막아내기에 최적화,"1. Sweeper, the last player covering the wholearea behind a line of defenders\2. Good defender, but slow player.","1. Sweeper, the last player covering the wholearea behind a line of defenders\2. Good defender, but slow player."
80066,CreateCharacter.ui,1. 상대적으로 빠른 스피드로 상대의 공격을 방어하기에 좋은 포지션\2. 제공권과 태클 등 전체적으로 준수한 수준,"1. Center back, the center of defense blockingthe opponent players with high speed\2. Good for high ball and tackling.","1. Center back, the center of defense blockingthe opponent players with high speed\2. Good for high ball and tackling."
80067,CreateCharacter.ui,1. 상대방 대인마크에 특화된 포지션\2. 제공권에 약점이 있지만 공격 스킬로 상대방에게 압박을 줄 수 있다,"1. Stopper, having good man to man defense\ability\2. Low ability taking high ball but having a\special heading shot at the counter attack.","1. Stopper, having good man to man defense\ability\2. Low ability taking high ball but having a\special heading shot at the counter attack."
80068,CreateCharacter.ui,1. 경기 중 유일하게 손을 쓸 수 있는 포지션\2. 골키퍼 보호구역을 벗어나면 다른 필드플레이어에 비해 운동 능력치는 떨어진다,"1. Goalkeeper, possible to catch the ball in thegoalkeeper to prevent the opposition from\scoring\2. The lowest field player at the out of\goalkeeper area.","1. Goalkeeper, possible to catch the ball in thegoalkeeper to prevent the opposition from\scoring\2. The lowest field player at the out of\goalkeeper area."
80069,CreateCharacter.ui,님의 경기 결과에요,s match result,s match result
80070,CreateCharacter.ui,포지션 설명,Description of the position,Description of the position
80071,CreateCharacter.ui,자동 성장,Automatic growth,Automatic growth
80072,CreateCharacter.ui,전직 보기,Position Tree,Position Tree
80073,CreateCharacter.ui,스킬 리스트,Skill List,Skill List
80074,CreateCharacter.ui,캐릭터생성,CreateCharacter,CreateCharacter
90001,CreateQuest.ui,보상 아이템,Item,Item
90002,CreateQuest.ui,없음,None,None
90003,CreateQuest.ui,포인트,Points,Points
90004,CreateQuest.ui,경험치,EXP,EXP
90005,CreateQuest.ui,퀘스트 상세보기,Quest Detail,Quest Detail
90006,CreateQuest.ui,수행조건 :,Condition :,Condition :
90007,CreateQuest.ui,퀘스트 설명,Description,Description
90008,CreateQuest.ui,레벨제한 :,Level :,Level :
90009,CreateQuest.ui,참여인원 :,Player :,Player :
90010,CreateQuest.ui,반복여부 :,Repetition :,Repetition :
90011,CreateQuest.ui,비밀번호 설정,Password,Password
90012,CreateQuest.ui,정렬,Order,Order
90013,CreateQuest.ui,미완료,Not yet,Not yet
90014,CreateQuest.ui,완료,Done,Done
90015,CreateQuest.ui,레벨 제한,Level,Level
90016,CreateQuest.ui,참여 인원,Player,Player
90017,CreateQuest.ui,반복 여부,Repetition,Repetition
90018,CreateQuest.ui,수행 조건,Condition,Condition
90019,CreateQuest.ui,퀘스트 만들기,New Quest,New Quest
90020,CreateQuest.ui,퀘스트 종류,Quest Type,Quest Type
100001,CreateRoom.ui,방 만들기,Setting,Setting
100002,CreateRoom.ui,인공지능 설정,Set AI,Set AI
100003,CreateRoom.ui,방식 설정,Match type,Match type
100004,CreateRoom.ui,일반방,Normal,Normal
100005,CreateRoom.ui,내기방,Betting,Betting
100006,CreateRoom.ui,방제목,Title,Title
100007,CreateRoom.ui,비밀번호,Password,Password
100008,CreateRoom.ui,인원 설정,Player,Player
100009,CreateRoom.ui,키퍼만허용,Goalee Only,Goalee Only
100010,CreateRoom.ui,전포지션허용,All positions,All positions
100011,CreateRoom.ui,전포지션불가,No AI players,No AI players
100012,CreateRoom.ui,세부설정 표시,Detail,Detail
100013,CreateRoom.ui,20레벨 이상부터 Point 내기경기가 가능합니다,"Possilbe to play the betting match, when you meet the Lv.20","Possilbe to play the betting match, when you meet the Lv.20"
100014,CreateRoom.ui,레벨 설정,Level,Level
100015,CreateRoom.ui,포인트 설정,Betting Points,Betting Points
100016,CreateRoom.ui,300 포인트,Points 300,Points 300
100017,CreateRoom.ui,500 포인트,Points 500,Points 500
100018,CreateRoom.ui,1000 포인트,Points 1000,Points 1000
100019,CreateRoom.ui,포지션 설정,Positons,Positons
100020,CreateRoom.ui,선공 설정,Ball ,Ball 
100021,CreateRoom.ui,시간 설정,Time,Time
100022,CreateRoom.ui,날씨 설정,Weather,Weather
100023,CreateRoom.ui,시간변화허용,Allow changing\Time,Allow changing\Time
100024,CreateRoom.ui,날씨변화허용,Allow changing\Weather,Allow changing\Weather
100025,CreateRoom.ui,클럽전용,Club only,Club only
100026,CreateRoom.ui,관전허용,Observer ,Observer 
100027,CreateRoom.ui,관전자채팅허용,Allow Chat,Allow Chat
100028,CreateRoom.ui,옵션 설정,Options,Options
100029,CreateRoom.ui,격번제,Sequence,Sequence
100030,CreateRoom.ui,랜덤제,Random,Random
100031,CreateRoom.ui,± 5레벨,LEVEL ±5,LEVEL ±5
100032,CreateRoom.ui,± 10레벨,LEVEL ±10,LEVEL ±10
100033,CreateRoom.ui,전체,ALL,ALL
100034,CreateRoom.ui,싱글,Single,Single
100035,CreateRoom.ui,AI 카드 대전,AI card match,Ladder
110001,GameLoading.ui,관전자 1,Observer 1,Observer 1
110002,GameLoading.ui,관전자 2,Observer 2,Observer 2
110003,GameLoading.ui,관전자 3,Observer 3,Observer 3
110004,GameLoading.ui,관전자 4,Observer 4,Observer 4
